"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-01","0.00",,"0.0",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-02","0.00",,"0.0",,"60","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-03","0.00",,"0.0",,"58","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-04","0.23","0.0","0.0",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-05","0.24",,"0.0",,"53","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-06","0.25","0.0","0.0",,"51","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-07","0.00",,"0.0",,"61","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-08","0.00",,"0.0",,"58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-09","0.00",,"0.0",,"61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-10","0.00",,"0.0",,"61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-11","0.00",,"0.0",,"56","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-12","0.00",,"0.0",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-13","0.00","0.0","0.0",,"63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-14","0.00",,"0.0",,"76","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-15","0.00",,"0.0",,"69","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-16","0.00",,"0.0",,"57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-17","0.00",,"0.0",,"59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-18","0.00",,"0.0",,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-19","0.00",,"0.0",,"62","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-20","0.00",,"0.0",,"59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-21","0.00",,"0.0",,"63","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-22","0.00","0.0","0.0",,"68","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-23","0.00","0.0","0.0",,"69","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-24","0.00",,"0.0",,"74","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-25","0.00",,"0.0",,"71","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-26","0.00",,"0.0",,"59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-27","0.00",,"0.0",,"67","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-28","0.00",,"0.0",,"71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-29","0.00",,"0.0",,"61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-30","0.00",,"0.0",,"63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-01","0.00",,"0.0",,"65","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-02","0.00",,"0.0",,"65","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-03","0.00",,"0.0",,"62","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-04","0.00",,"0.0",,"68","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-05","0.00",,"0.0",,"63","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-06","0.00","0.0","0.0",,"71","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-07","0.00",,"0.0",,"76","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-08","0.00",,"0.0",,"76","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-09","0.00",,"0.0",,"60","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-10","0.00",,,,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-11","0.01",,,,"68","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-12","0.08",,"0.0",,"62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-13","0.02",,"0.0",,"64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-14","0.08",,"0.0",,"61","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-15","0.01",,"0.0",,"65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-16","0.00",,"0.0",,"69","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-17","0.24","0.0","0.0",,"69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-18","0.12","0.0","0.0",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-19","0.00",,"0.0",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-20","0.00",,"0.0",,"65","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-21","0.00",,"0.0",,"67","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-22","0.00",,"0.0",,"66","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-23","0.00",,"0.0",,"70","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-24","0.00","0.0","0.0",,"72","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-25","0.00","0.0","0.0",,"81","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-26","0.00",,"0.0",,"81","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-27","0.00",,"0.0",,"72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-28","0.00",,"0.0",,"62","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-29","0.00",,"0.0",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-30","0.01",,"0.0",,"69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-31","0.00",,"0.0",,"62","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-01","0.00",,"0.0",,"66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-02","0.00",,"0.0",,"78","56"
